Model,Accuracy,Precision,Recall,F1_score
Random Forest without NDVI_2019 and NDVI_2026,0.775,0.7570093457943925,0.81,0.782608695652174
LSTM NDVI temporal baseline,0.75,0.7551020408163265,0.74,0.7474747474747475
